     eType,  uiId,     Hits,  TotalTime,                                   GUID, Name
       KMD,  5000,       64,     183396, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryAdapterInfo
       KMD,  5001,        4,       1020, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateDevice
       KMD,  5002,     1602,    1242613, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateAllocation
       KMD,  5003,      844,      16077, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDescribeAllocation
       KMD,  5004,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetStandardAllocationDriverData
       KMD,  5005,     1063,      70531, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyAllocation
       KMD,  5006,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiAcquireSwizzlingRange
       KMD,  5007,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiReleaseSwizzlingRange
       KMD,  5008,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPatch
       KMD,  5009,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCommitVidPn
       KMD,  5010,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceAddress
       KMD,  5011,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceVisibility
       KMD,  5012,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiUpdateActiveVidPnPresentPath
       KMD,  5013,        2,        323, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSubmitCommand
       KMD,  5014,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPreemptCommand
       KMD,  5015,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryCurrentFence
       KMD,  5016,    36869,     719986, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiBuildPagingBuffer
       KMD,  5017,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPalette
       KMD,  5018,       48,      57412, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPointerShape
       KMD,  5019,      295,      68641, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPointerPosition
       KMD,  5020,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResetFromTimeout
       KMD,  5021,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRestartFromTimeout
       KMD,  5022,     1732,     278400, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiEscape
       KMD,  5023,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCollectDbgInfo
       KMD,  5024,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRecommendFunctionalVidPn
       KMD,  5025,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiIsSupportedVidPn
       KMD,  5026,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiEnumVidPnCofuncModality
       KMD,  5027,        4,       1537, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyDevice
       KMD,  5028,     1610,      89931, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiOpenAllocation
       KMD,  5029,     1067,      36251, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCloseAllocation
       KMD,  5030,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRender
       KMD,  5031,     1068,      62689, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPresent
       KMD,  5032,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateOverlay
       KMD,  5033,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiUpdateOverlay
       KMD,  5034,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiFlipOverlay
       KMD,  5035,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyOverlay
       KMD,  5036,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetScanLine
       KMD,  5037,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRecommendMonitorModes
       KMD,  5038,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiControlInterrupt
       KMD,  5039,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiStopCapture
       KMD,  5040,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRecommendVidPnTopology
       KMD,  5041,       14,       6523, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateContext
       KMD,  5042,       14,       9376, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyContext
       KMD,  5044,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetDisplayPrivateDriverFormat
       KMD,  5045,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRenderKm
       KMD,  5046,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiAddTargetMode
       KMD,  5047,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryVidPnHWCapability
       KMD,  5048,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPresentDisplayOnly
       KMD,  5049,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryDependentEngineGroup
       KMD,  5050,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryEngineStatus
       KMD,  5051,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResetEngine
       KMD,  5052,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCancelCommand
       KMD,  5053,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetNodeMetadata
       KMD,  5054,     1921,     345574, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiControlInterrupt2
       KMD,  5055,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCheckMultiPlaneOverlaySupport
       KMD,  5056,    11373,     353337, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCalibrateGpuClock
       KMD,  5057,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiFormatHistoryBuffer
       KMD,  5058,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetRootPageTableSize
       KMD,  5059,        6,       4542, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetRootPageTable
       KMD,  5060,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiInitPagingProcessVaSpace
       KMD,  5061,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiMapCpuHostAperture
       KMD,  5062,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiUnmapCpuHostAperture
       KMD,  5063,     5654,     569619, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSubmitCommandVirtual
       KMD,  5064,        2,       4881, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateProcess
       KMD,  5065,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyProcess
       KMD,  5066,        4,        788, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiRenderGdi
       KMD,  5110,        4,     173808, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateHwQueue
       KMD,  5111,        4,      44649, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyHwQueue
       KMD,  5112,    31754,     722439, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSubmitCommandToHwQueue
       KMD,  5113,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVirtualMachineData
       KMD,  5114,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetSchedulingLogBuffer
       KMD,  5115,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetupPriorityBands
       KMD,  5116,       13,        120, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiNotifyFocusPresent
       KMD,  5117,        4,         87, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetContextSchedulingProperties
       KMD,  5118,       79,      17250, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSuspendContext
       KMD,  5119,       79,      13053, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResumeContext
       KMD,  5120,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceAddressWithMultiPlaneOverlay
       KMD,  5121,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceAddressWithMultiPlaneOverlay2
       KMD,  5122,      451,     385616, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetVidPnSourceAddressWithMultiPlaneOverlay3
       KMD,  5123,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPostMultiPlaneOverlayPresent
       KMD,  5124,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPowerComponentFState
       KMD,  5125,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetPowerPState
       KMD,  5126,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPowerRuntimeControlRequest
       KMD,  5127,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPowerRuntimeSetDeviceHandle
       KMD,  5128,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryDiagnosticTypesSupport
       KMD,  5129,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiControlDiagnosticReporting
       KMD,  5130,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiBeginExclusiveAccess
       KMD,  5131,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiEndExclusiveAccess
       KMD,  5132,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResetHwEngine
       KMD,  5133,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiResumeHwEngine
       KMD,  5134,       95,        981, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSignalMonitoredFence
       KMD,  5135,       91,      12957, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiPresentToHwQueue
       KMD,  5136,    34574,     283645, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiValidateSubmitCommand
       KMD,  5137,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetBackingResource
       KMD,  5138,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetMmioRangeCount
       KMD,  5139,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetMmioRanges
       KMD,  5140,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetTrackedWorkloadPowerLevel
       KMD,  5141,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCollectDiagnosticInfo
       KMD,  5143,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiControlInterrupt3
       KMD,  5144,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDsiCaps
       KMD,  5145,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDsiTransmission
       KMD,  5146,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDsiReset
       KMD,  5147,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetDisplayStateNonIntrusive
       KMD,  5148,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetDisplayStateIntrusive
       KMD,  5149,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiQueryDPCaps
       KMD,  5150,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiGetDPAddress
       KMD,  5151,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDPAuxIoTransmission
       KMD,  5152,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDPI2CIoTransmission
       KMD,  5153,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDPSBMTransmission
       KMD,  5154,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetFlipQueueLogBuffer
       KMD,  5155,     1266,      97176, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetInterruptTargetPresentId
       KMD,  5156,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCancelQueuedFlips
       KMD,  5157,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiSetAllocationBackingStore
       KMD,  5158,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateCpuEvent
       KMD,  5159,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyCpuEvent
       KMD,  5160,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCancelFlips
       KMD,  5161,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiUpdateFlipQueueLog
       KMD,  5162,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateDoorbell
       KMD,  5163,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiConnectDoorbell
       KMD,  5164,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDisconnectDoorbell
       KMD,  5165,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiDestroyDoorbell
       KMD,  5166,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiNotifyWorkSubmission
       KMD, 10005,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DdiCreateAllocation2
       KMD, 13000,        0,          0, {802EC45A-1E99-4B83-9920-87C98277BA9D}, DxgkDdiMiracastQueryCaps
